"","texto","muyNeg","Neg","muyPos","Pos","Valor","Sentimiento"
"138","  Más de   mujeres de  Hollywood lanzaron plan contra el  acososexual   feminismo  MeToo  feminismo  abusosexual","0","1","0","0",-0.5,"Negativo"
"139","  El  feminismo es plantarle cara a los infrahumanos como éstos  no ir medio en pelotas a lucir palmito por un pastizal ","0","0","1","0",1,"Positivo"
"140","  El  feminismo es plantarle cara a los infrahumanos como éstos  no ir medio en pelotas a lucir palmito por un pastizal ","0","0","1","0",1,"Positivo"
"141","El  feminismo es plantarle cara a los infrahumanos como éstos  no ir medio en pelotas a lucir palmito por un pastiz ","0","0","1","0",1,"Positivo"
"142"," Metoo y el año en que todo empezó a cambiar por Lee su columna llena de poder en  ","0","0","0","0",0,"Neutro"
"143","  Y si en estas navidades no hicieras nada  Igualdad o nada  Se acabó la navidad machista   eresunacaca  feminismo  caca   ","0","0","0","0",0,"Neutro"
"144","  Hablando de  Feminismo me acabo de dar un atracón con el docu de   Bombshell La Historia de Hedy L ","0","0","0","0",0,"Neutro"
"145","Tres cosas por las que  Pedroche NO representa al  feminismo    Alimenta estereotipos patriarcales de cuerpo mujer  ","0","0","0","0",0,"Neutro"
"146","Es lo que tiene el  Feminismo  así  sin más  sin clase    La lucha por la liberación de la mujer trabajadora si que ","0","0","0","0",0,"Neutro"
"147","Soy tan  feminista que ya no tengo prejuicios cuando leo un libro escrito por una mujer  feminismo  feminism","0","0","0","0",0,"Neutro"
"148","Anna Muzychuk pone en jaque al machismo saudí  su renuncia a defender sus dos títulos en los campeonatos mundiales ","0","0","0","0",0,"Neutro"
"149","  No queremos que el  sea  el año  del  feminismo  queremos que los feminismos calen en la sociedad y formen parte de ","0","0","0","0",0,"Neutro"
"150","Invisibilizar el sexo universalizar el género  destruir el feminismo  ViolenciaContraLaMujer  Feminismo  Género ","0","0","0","0",0,"Neutro"
"151","  El  feminismo como yo lo entiendo  Leído gracias a","0","0","2","0",1.66666666666667,"Muy Positivo"
"152","La gente no entiende lo que es el  feminismo cuando critica a  pedroche por ponerse ese vestido en las ","0","1","0","0",-0.5,"Negativo"
"153","No olvidemos este año los  feminicidios y asesinatos de mujeres en el Ni un paso atr ","0","1","0","0",-0.5,"Negativo"
"154","  El  feminismo no es una moda   El  feminismo es un compromiso   De nada ","0","0","0","0",0,"Neutro"
"155","  El test de Bechdel está pasado de moda  Creadoras proponen otras alternativas   cine  series  tv  feminismo","0","0","0","0",0,"Neutro"
"156","El dogma de fé del feminismo cultural  o apoyas todo lo que este propon ","0","0","0","0",0,"Neutro"
"157","Nos deben al menos un gesto       mujeresparlamentarias es mucho poder q no se puede desaprovechar x visiones pa ","0","0","1","0",1,"Positivo"
"158","Camille Claudel  Fère en Tardenois   Montdevergues   Además de ser una de las colaboradoras de confianza de ","0","0","1","0",1,"Positivo"
"159","Muy interesante la entrevista aensobre el  feminismo","0","0","1","0",1,"Positivo"
"160","Yo hace como  años que sólo uso las palabras  Feminismo   discriminación por sexo ","0","0","0","0",0,"Neutro"
"161","   WeShouldAllBeFeminists  Hay que recurrir a ejemplos especificos para que alguien que no ve la importancia del  feminismo pu ","0","0","1","0",1,"Positivo"
"162","NO  no puedo enseñar a retocar fotos  No  no puedo retocar fotos gratis  y NO  la Pedroche no es feminista  solo un ","0","0","0","0",0,"Neutro"
"163","Yo hace como  años que sólo uso las palabras  Feminismo   discriminación por ","0","0","0","0",0,"Neutro"
"164"," Un deseo para   NO más  machismo  Extended el  FEMINISMO  ","0","0","1","0",1,"Positivo"
"165","   QUÉ ESTÁN VIENDO MIS OJOS     No me puedo creer este artículo de  El discurso FUE feminista   Muy b ","0","0","0","0",0,"Neutro"
"166","No es lo mismo  género que  sexo que  feminismo","0","0","0","0",0,"Neutro"
"167","Cuentos para niñas rebeldes mujer  libros  literatura  empoderamiento  feminismo","0","0","0","0",0,"Neutro"
"168","Como cada año tras las campanadas deel debate en  rrss sobre el vestido de  lapedroche no se hizo esp ","0","0","1","0",1,"Positivo"
"169","  Pues no va y me dice mi primaque quiere una sesión de fotos con pelillos     feminismo","0","0","0","0",0,"Neutro"
"170","  Hombres que no saben distinguir entre  machismo y  feminismo y te dicen que  te lo hagas ver                                      ","0","0","0","0",0,"Neutro"
"171","Porque el diario se construye automáticamente gracias a tuits de person ","0","0","1","0",1,"Positivo"
"172","  El  feminismo como yo lo entiendo  Leído gracias a","0","0","2","0",1.66666666666667,"Muy Positivo"
"173","Cristina Pedroche   Mi vestido es superfeminista   Perfecta respuesta dea las  feministas que quie ","0","0","0","0",0,"Neutro"
"174","Lo importante es que nadie obliga por lo que veo mas un acto de libertad personal que de  Machismo o ","0","0","2","0",1.66666666666667,"Muy Positivo"
"175","  El  feminismo como yo lo entiendo  Leído gracias a","0","0","2","0",1.66666666666667,"Muy Positivo"
"176","  Regala  feminismo  Regala  igualdad                                         Machismo de  NiñasRebeldes dey","0","0","0","0",0,"Neutro"
"177","Como mujer  sentí asco  bochorno e indignación  Cómplice consentida del machismo más baboso  PedrocheCampanadas  No ","0","0","1","0",1,"Positivo"
"178","Pues no va y me dice mi primaque quiere una sesión de fotos con pelillos     feminismo","0","0","0","0",0,"Neutro"
"179","             Presentación Libro  La  muerte de mi madre me hizo más libre   Qmayorvía  ","0","0","0","0",0,"Neutro"
"180","Como acabaremos con burkas SEGURO es idolatrando la teoría de Genaro y el  feminismo moderno como hacéis vosotros ","0","1","3","0",1.5625,"Muy Positivo"
"181","Como acabaremos con burkas SEGURO es idolatrando la teoría de Genaro y el  feminismo mod ","0","1","2","0",1.07142857142857,"Muy Positivo"
"182"," Sabes qué es el  Feminismo  Descubre más sobre este movimiento","0","0","0","0",0,"Neutro"
"183","  Y si en estas navidades no hicieras nada  Igualdad o nada  Se acabó la navidad machista   eresunacaca  feminismo  caca   ","0","0","0","0",0,"Neutro"
