"","tweets_txt"
"85","Acoso en la facultad   Aguanté hasta el examen  Pensé que era mi culpa feminismo  sororidad  visibilidad"
"86","Esta genial  que a ti se te contrate por ser chef y caes en ponerte una chaqueta  graciosa  y tu co "
"87","Esto es  Feminismo  lo depuro marketing "
"88","PRIMER LIBRO DEL AÑO  DIÁLOGOS MASCULINOS  dey "
"89","Me han eliminado este tweet que hice  marianononosningunees  dianaquer  violenciamachista  nonoscallaran  machismo "
"90"," Tienes ya tu agenda del    pues echa un ojo a nuestros talleres y actividades y apunta las fechas  "
"91","Nuevo principio de incertidumbre del  feminismo   Una mujer feminista joven y bella dentro de una caja viste con ro "
"92","Una de las muestra de q aun queda mucho por luchar  feminismo"
"93","  Hombres que no saben distinguir entre  machismo y  feminismo y te dicen que  te lo hagas ver                                      "
"94","            Interesante lectura  La justicia y la identificación con el agresor vía  Feminismo  AnálisisFeminista"
"95","  Más de   mujeres de  Hollywood lanzaron plan contra el  acososexual   feminismo  MeToo  feminismo  abusosexual"
"96","  Celebres lo que celebres     Felices fiestas y feliz  cargado de mucho feminismo   feminismo  libertad  empoderamiento   "
"97"," Esto es cosa de hombres y sólo de hombres  INADMISIBLE  El techo de cristal para las mujeres se quedaa un palmo "
"98"," A retomar la marcha se ha dicho                            Qué mejor que iniciar el  descubriendo el legado que nos han dejado estas "
"99","    El test de Bechdel está pasado de moda  Creadoras proponen otras alternativas   cine  series  tv  feminismo"
"100","    El test de Bechdel está pasado de moda  Creadoras proponen otras alternativas   cine  series  tv  feminismo"
"101","  El  feminismo es plantarle cara a los infrahumanos como éstos  no ir medio en pelotas a lucir palmito por un pastizal "
"102","             Presentación Libro  La  muerte de mi madre me hizo más libre   Qmayorvía  "
"103","RT LSeptico  La estupidez del  feminismo"
"104","  Eres una cacaaaaa       Cuando una esta haaaarta del machismo lo primero que hace es reírse de los problemas con "
"105","  Anticapitalistas es  Ecologismo  Socialismo  Feminismo  Municipalismo Hazte simpatizante  Organízate  Lucha  Tu participación "
"106","Soy feminista  Sí  Mientras hayan mujeres que mueren por sus parejas  mientras hayan violaciones   mientras nos juz "
"107"," likes   personas k x  comentario serían capaces d agredir a otra persona sólo x su género  Pegando "
"108","    Que la fuerza del  Feminismo nos acompañe                 Ámate  Ama   Cambiar ese orden sí que altera el valor     "
"109","La Pedroche se puede poner lo que le da la gana  eso es libertad de decisión y eso es  feminismo se ponga eso o una "
"110","Respeto y admiro a los hombres  que ayudan en sus casas  que cocinan  que limpian  que cuidan también de un hogar  "
"111","RT LSeptico  La estupidez del  feminismo"
"112","Las mujeres tenemos las mismas capacidades que los hombres  no somos inferiores a ustedes  si te crees una raza sup "
"113","Mujeres que trabajan  se parten el lomo  atienden a sus hijos  y de paso llegan cansadas a casa  los hombres demand "
"114","Siempre he pensado lo siguiente  si la mujer puede  el hombre también  No por ser mujeres somos menos  no por ser m "
"115"," Yo como mujer estaré al frente y los protegeré  Luchen por su país    feminismo"
"116","La Pedroche se puede poner lo que le da la gana  eso es libertad de decisión y eso es  feminismo se ponga eso o una "
"117","Un año más de lucha feminista vía atandocabosorg  Feminismo  Género  Feminista"
"118","  Un año más de lucha feminista vía Feminismo  Género  Feminista"
"119","  La estupidez del  feminismo"
"120","aldocardinali En resumen  no es  feminismo  es  hembrismo  el odio hacia el hombredesde el principio "
"121","Tengo la sensación de que el  va a ser el año del feminismo  ya lo veréis                          Vamos a ser más grandes aún  feminismo"
"122","  El  feminismo no es una moda   El  feminismo es un compromiso   De nada "
"123","No concibo que se use a una mujer como un objeto  bajo mi opinión es lo que está sucediendo con   es "
"124","Jajaja  feminismo"
"125","La Pedroche se puede poner lo que le da la gana  eso es libertad de decisión y eso es  feminismo se ponga eso o una "
"126","El  feminismo es la ideología más destructiva que ha visto esta era Lástima la ignorancia y la maldad que llevan a ella "
"127","Un año más de lucha feminista vía Feminismo  Género  Feminista"
"128","  Que en  la fuerza se multiplique   Feminismo  NiUnaMenos  IgualdadDeGéneroSíVía  "
"129","  La estupidez del  feminismo"
"130","En resumen  no es  feminismo  es  hembrismo  el odio hacia el hombredesde el principio "
"131","  La estupidez del  feminismo"
"132","RT Eres Una Caca  Y si en estas navidades no hicieras nada  Igualdad o nada  Se acabó la navidad machista   eresunacaca  feminismo  caca   "
"133","Porque corregidme si me equivoco  pero  feminismo no es pedir que las tiendas abran un festivo porque te haya bajad "
"134","  Hombres que no saben distinguir entre  machismo y  feminismo y te dicen que  te lo hagas ver                                      "
"135","  No queremos que el  sea  el año  del  feminismo  queremos que los feminismos calen en la sociedad y formen parte de "
"136","La Pedroche se puede poner lo que le da la gana  eso es libertad de decisión y eso es  feminismo se ponga eso o una "
"137","No queremos vencer al patriarcado con sus propias reglas  Queremos unas nuevas  Muy recomendable esto de "
"138","  Más de   mujeres de  Hollywood lanzaron plan contra el  acososexual   feminismo  MeToo  feminismo  abusosexual"
"139","  El  feminismo es plantarle cara a los infrahumanos como éstos  no ir medio en pelotas a lucir palmito por un pastizal "
"140","  El  feminismo es plantarle cara a los infrahumanos como éstos  no ir medio en pelotas a lucir palmito por un pastizal "
"141","El  feminismo es plantarle cara a los infrahumanos como éstos  no ir medio en pelotas a lucir palmito por un pastiz "
"142"," Metoo y el año en que todo empezó a cambiar por Lee su columna llena de poder en  "
"143","  Y si en estas navidades no hicieras nada  Igualdad o nada  Se acabó la navidad machista   eresunacaca  feminismo  caca   "
"144","  Hablando de  Feminismo me acabo de dar un atracón con el docu de   Bombshell La Historia de Hedy L "
"145","Tres cosas por las que  Pedroche NO representa al  feminismo    Alimenta estereotipos patriarcales de cuerpo mujer  "
"146","Es lo que tiene el  Feminismo  así  sin más  sin clase    La lucha por la liberación de la mujer trabajadora si que "
"147","Soy tan  feminista que ya no tengo prejuicios cuando leo un libro escrito por una mujer  feminismo  feminism"
"148","Anna Muzychuk pone en jaque al machismo saudí  su renuncia a defender sus dos títulos en los campeonatos mundiales "
"149","  No queremos que el  sea  el año  del  feminismo  queremos que los feminismos calen en la sociedad y formen parte de "
"150","Invisibilizar el sexo universalizar el género  destruir el feminismo  ViolenciaContraLaMujer  Feminismo  Género "
"151","  El  feminismo como yo lo entiendo  Leído gracias a"
"152","La gente no entiende lo que es el  feminismo cuando critica a  pedroche por ponerse ese vestido en las "
"153","No olvidemos este año los  feminicidios y asesinatos de mujeres en el Ni un paso atr "
"154","  El  feminismo no es una moda   El  feminismo es un compromiso   De nada "
"155","  El test de Bechdel está pasado de moda  Creadoras proponen otras alternativas   cine  series  tv  feminismo"
"156","El dogma de fé del feminismo cultural  o apoyas todo lo que este propon "
"157","Nos deben al menos un gesto       mujeresparlamentarias es mucho poder q no se puede desaprovechar x visiones pa "
"158","Camille Claudel  Fère en Tardenois   Montdevergues   Además de ser una de las colaboradoras de confianza de "
"159","Muy interesante la entrevista aensobre el  feminismo"
"160","Yo hace como  años que sólo uso las palabras  Feminismo   discriminación por sexo "
"161","   WeShouldAllBeFeminists  Hay que recurrir a ejemplos especificos para que alguien que no ve la importancia del  feminismo pu "
"162","NO  no puedo enseñar a retocar fotos  No  no puedo retocar fotos gratis  y NO  la Pedroche no es feminista  solo un "
"163","Yo hace como  años que sólo uso las palabras  Feminismo   discriminación por "
"164"," Un deseo para   NO más  machismo  Extended el  FEMINISMO  "
"165","   QUÉ ESTÁN VIENDO MIS OJOS     No me puedo creer este artículo de  El discurso FUE feminista   Muy b "
"166","No es lo mismo  género que  sexo que  feminismo"
"167","Cuentos para niñas rebeldes mujer  libros  literatura  empoderamiento  feminismo"
"168","Como cada año tras las campanadas deel debate en  rrss sobre el vestido de  lapedroche no se hizo esp "
"169","  Pues no va y me dice mi primaque quiere una sesión de fotos con pelillos     feminismo"
"170","  Hombres que no saben distinguir entre  machismo y  feminismo y te dicen que  te lo hagas ver                                      "
"171","Porque el diario se construye automáticamente gracias a tuits de person "
"172","  El  feminismo como yo lo entiendo  Leído gracias a"
"173","Cristina Pedroche   Mi vestido es superfeminista   Perfecta respuesta dea las  feministas que quie "
"174","Lo importante es que nadie obliga por lo que veo mas un acto de libertad personal que de  Machismo o "
"175","  El  feminismo como yo lo entiendo  Leído gracias a"
"176","  Regala  feminismo  Regala  igualdad                                         Machismo de  NiñasRebeldes dey"
"177","Como mujer  sentí asco  bochorno e indignación  Cómplice consentida del machismo más baboso  PedrocheCampanadas  No "
"178","Pues no va y me dice mi primaque quiere una sesión de fotos con pelillos     feminismo"
"179","             Presentación Libro  La  muerte de mi madre me hizo más libre   Qmayorvía  "
"180","Como acabaremos con burkas SEGURO es idolatrando la teoría de Genaro y el  feminismo moderno como hacéis vosotros "
